-,-,-
-882, -382, 227
-886, -419, 234
-945, -444, 188
-980, -471, 170
-1116, -465, 131
-1316, -539, 139
-1558, -621, 264
-1666, -614, 527
-1668, -562, 1051
-1521, -466, 1224
-1293, -398, 1229
-996, -338, 1115
-615, -318, 950
-228, -312, 840
138, -240, 390
362, -272, 33
515, -284, -272
515, -284, -272
538, -265, -556
446, -292, -635
249, -247, -667
-58, -140, -776
-473, -157, -755
-905, -317, -541
-1401, -552, -158
-1735, -854, 116
-1972, -1246, 97
-,-,-
-848, -464, 392
-991, -428, 272
-1124, -466, 202
-1246, -589, 328
-1415, -727, 368
-1600, -800, 490
-1665, -776, 652
-1590, -669, 869
-1388, -550, 1054
-1126, -447, 1087
-814, -324, 963
-466, -242, 873
-159, -199, 671
101, -165, 488
101, -165, 488
298, -171, 248
408, -222, 108
453, -169, -64
431, -148, -192
297, -138, -391
-31, -96, -578
-464, -171, -691
-898, -368, -630
-1431, -658, -396
-1909, -1163, -157
-1998, -1469, -168
-1998, -1542, -165
-,-,-
-822, -325, 137
-919, -331, 261
-1026, -460, 427
-1211, -472, 403
-1465, -535, 361
-1663, -666, 587
-1718, -808, 866
-1644, -867, 1046
-1430, -750, 1007
-1047, -543, 1041
-589, -319, 1067
-202, -158, 934
93, 63, 668
253, 49, 424
404, 41, 170
404, 41, 170
424, -189, 26
386, -229, -266
213, -238, -389
-6, -188, -427
-346, -162, -446
-711, -236, -539
-1099, -595, -384
-1534, -1067, -244
-1809, -1223, -281
-1899, -1243, -199
-1883, -1202, -106
-,-,-
-795, -433, 461
-874, -397, 408
-1106, -427, 359
-1328, -551, 463
-1573, -757, 593
-1773, -933, 756
-1823, -965, 832
-1709, -875, 1026
-1413, -725, 1146
-986, -592, 1250
-536, -463, 1128
-136, -343, 848
174, -161, 645
174, -161, 645
470, -60, 437
594, 3, 135
655, -69, -166
646, -42, -346
568, 48, -358
568, 48, -358
422, 122, -254
180, 176, -194
-222, 93, -260
-679, -381, -400
-1324, -1256, -198
-1788, -1519, -234
-1998, -1585, -137
-1998, -1530, -140
-1998, -1431, -68
-1876, -1187, 107
-1555, -919, 353
-,-,-
-917, -441, 277
-1076, -529, 418
-1280, -691, 519
-1455, -716, 437
-1652, -740, 526
-1760, -797, 692
-1726, -913, 907
-1559, -915, 1089
-1280, -811, 1136
-934, -658, 1079
-540, -506, 1032
-108, -233, 927
217, -33, 606
429, -33, 272
587, 24, -80
686, 83, -155
686, 83, -155
748, 184, -375
714, 319, -567
528, 442, -784
187, 234, -713
-326, -272, -376
-1045, -921, -162
-1747, -1466, -25
-1998, -1741, 41
-1998, -1814, 223
-1998, -1568, 286
-,-,-
-923, -522, 282
-1073, -588, 394
-1287, -678, 355
-1572, -765, 294
-1822, -1005, 431
-1987, -1378, 717
-1838, -1408, 783
-1389, -1034, 1060
-785, -537, 1277
-242, -232, 1201
177, -53, 829
288, -39, 507
539, 122, 205
615, 69, 137
600, 56, -61
600, 56, -61
465, 73, -226
316, 62, -241
107, -28, -312
-169, -195, -386
-687, -506, -438
-1166, -802, -643
-1545, -1176, -619
-1858, -1489, -601
-1997, -1625, -554
-1938, -1521, -400
-,-,-
-853, -340, 372
-924, -348, 366
-1128, -360, 379
-1331, -499, 466
-1532, -722, 588
-1630, -912, 724
-1576, -916, 787
-1406, -765, 822
-1161, -544, 934
-904, -364, 922
-627, -275, 907
-375, -198, 758
-123, -94, 660
72, -6, 469
72, -6, 469
195, -7, 397
300, 12, 208
350, -20, -21
350, -20, -21
337, -63, -163
239, -79, -182
75, -55, -259
-153, -196, -381
-482, -553, -520
-879, -904, -445
-1371, -1142, -311
-1724, -1326, -323
-1923, -1532, -292
-1976, -1630, -304
-,-,-
-1005, -407, 249
-1185, -472, 352
-1364, -556, 556
-1522, -708, 502
-1639, -808, 382
-1584, -811, 582
-1350, -679, 861
-1057, -511, 1001
-777, -419, 915
-524, -357, 734
-248, -315, 588
29, -211, 507
293, -109, 462
293, -109, 462
469, 29, 258
498, 1, 80
415, -57, -181
246, -94, -368
-10, -160, -402
-10, -160, -402
-324, -315, -253
-802, -567, -88
-1338, -983, -121
-1756, -1380, -127
-1986, -1535, -159
-1998, -1515, -116
-,-,-
-824, -356, 328
-979, -408, 625
-1256, -471, 680
-1609, -574, 771
-1881, -775, 995
-1862, -1000, 1183
-1576, -1043, 1275
-1063, -779, 1233
-506, -468, 1170
-28, -204, 859
317, -123, 484
544, -58, 195
544, -58, 195
744, -76, -22
729, -99, -183
626, -74, -413
365, -122, -498
61, -135, -520
-342, -258, -422
-905, -506, -341
-1525, -963, -273
-1964, -1520, -119
-1998, -1724, -44
-1998, -1608, 107
-1895, -1323, 230
-,-,-
-1335, -483, 554
-1445, -580, 787
-1445, -580, 830
-1514, -600, 830
-1442, -597, 864
-1262, -568, 976
-979, -429, 1092
-663, -256, 1100
-437, -154, 927
-257, -168, 732
-73, -196, 600
111, -224, 345
254, -212, 77
378, -213, -131
457, -252, -326
435, -192, -672
164, -30, -868
164, -30, -868
-288, -28, -741
-834, -408, -397
-1522, -1069, 78
-1974, -1455, 171
-1998, -1591, 78
-,-,-
-1015, -365, 293
-1150, -410, 330
-1284, -447, 336
-1456, -525, 378
-1578, -642, 538
-1677, -657, 648
-1567, -619, 834
-1292, -504, 1044
-954, -306, 1064
-622, -177, 1032
-336, -92, 885
-336, -92, 885
-91, -13, 747
118, -6, 586
264, -16, 311
289, -105, 0
289, -105, 0
281, -189, -182
252, -158, -344
125, -52, -475
-107, 68, -615
-474, -89, -562
-1016, -600, -420
-1567, -1151, -292
-1948, -1493, -227
-1998, -1506, -191
-,-,-
-999, -342, 212
-1103, -374, 345
-1314, -444, 399
-1540, -536, 294
-1773, -728, 350
-1793, -926, 660
-1613, -969, 937
-1329, -818, 1010
-978, -545, 954
-649, -315, 851
-346, -171, 765
-45, -26, 685
98, -28, 603
268, 62, 394
268, 62, 394
279, -24, 190
297, -107, 29
254, -197, -111
139, -148, -312
-51, -67, -425
-51, -67, -425
-320, -73, -459
-650, -308, -435
-1065, -769, -358
-1493, -1094, -340
-1773, -1155, -262
-1931, -1128, -163
-1955, -1071, 46
-1824, -981, 126
-1824, -981, 126
-,-,-
-1005, -375, 194
-1079, -400, 219
-1301, -489, 390
-1581, -507, 498
-1824, -542, 675
-1847, -570, 832
-1616, -567, 1022
-1255, -573, 1145
-905, -517, 958
-578, -409, 774
-311, -211, 651
-45, -85, 428
40, -109, 247
116, -148, 119
116, -148, 119
113, -171, 122
92, -33, 61
37, 49, 3
-37, 117, -139
-37, 117, -139
-174, 85, -210
-353, -12, -179
-574, -130, -145
-879, -428, -188
-1257, -862, -184
-1613, -1222, -124
-1857, -1367, -135
-1895, -1305, -137
-1801, -1127, -76
-,-,-
-1022, -401, 326
-1114, -383, 297
-1225, -433, 309
-1367, -525, 385
-1476, -581, 347
-1510, -686, 391
-1431, -762, 580
-1262, -709, 718
-1020, -488, 716
-778, -282, 715
-568, -173, 632
-568, -173, 632
-429, -161, 561
-315, -114, 485
-218, -60, 374
-175, -38, 284
-153, -41, 170
-179, -116, 138
-229, -182, 82
-278, -190, -35
-324, -210, -103
-390, -240, -75
-390, -240, -75
-501, -267, -64
-649, -315, -165
-833, -420, -225
-1032, -559, -139
-1267, -755, -72
-1477, -974, -66
-1617, -1139, -83
-1635, -1138, -62
-,-,-
-978, -438, 157
-1024, -415, 97
-1125, -430, 82
-1233, -510, 150
-1316, -622, 248
-1375, -698, 341
-1375, -694, 466
-1302, -566, 635
-1176, -405, 744
-1001, -329, 780
-840, -296, 737
-664, -255, 680
-504, -196, 629
-369, -135, 549
-208, -86, 516
-67, -88, 326
-67, -88, 326
59, -104, 147
51, -75, -60
-50, -70, -105
-137, -60, -32
-246, -152, 90
-246, -152, 90
-476, -236, -82
-749, -380, -152
-996, -583, -267
-1301, -923, -329
-1546, -1109, -500
-1680, -1168, -567
-1720, -1176, -476
-,-,-
-1111, -489, 165
